"tax_id","ott_id","domain","kingdom","phylum","class","order","family","genus","species","subspecies","taxon_name","AphiaID_accepted","freshwater","brackish","marine","tax_level"
"tax_854",229287,"Eukaryota","Metazoa","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae","Pomacea","Pomacea canaliculata",,"pomacea canaliculata",741113,"TRUE",,,"species"
"tax_849",178949,"Eukaryota","Metazoa","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae","Pomacea","Pomacea diffusa",,"pomacea diffusa",848365,"TRUE",,,"species"
"tax_841",103296,"Eukaryota","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Prosopium","Prosopium williamsoni",,"prosopium williamsoni",567546,"TRUE",,,"species"
"tax_917",975963,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Pseudobarbus","Pseudobarbus burchelli",,"pseudobarbus burchelli",1026303,"TRUE",,,"species"
"tax_916",975959,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Pseudobarbus","Pseudobarbus burgi",,"pseudobarbus burgi",1017778,"TRUE",,,"species"
"tax_922",1073304,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Pseudobarbus","Pseudobarbus phlegethon",,"pseudobarbus phlegethon",1015023,"TRUE",,,"species"
"tax_921",1049453,"Eukaryota","Metazoa","Arthropoda","Insecta","Ephemeroptera","Baetidae","Pseudocloeon",,,"pseudocloeon sp",,"TRUE",,,"genus"
"tax_891",664976,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Mugilidae","Rhinomugil","Rhinomugil corsula",,"rhinomugil corsula",282586,"TRUE","TRUE",,"species"
"tax_843",114152,"Eukaryota","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus namaycush",,"salvelinus namaycush",567548,"TRUE",,,"species"
"tax_848",156491,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Anabantidae","Sandelia","Sandelia capensis",,"sandelia capensis",1418501,"TRUE",,,"species"
"tax_879",557682,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Percidae","Sander","Sander lucioperca",,"sander lucioperca",151308,"TRUE","TRUE",,"species"
"tax_880",557687,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Percidae","Sander","Sander vitreus",,"sander vitreus",275311,"TRUE","TRUE",,"species"
"tax_913",962544,"Eukaryota","Metazoa","Chordata","Actinopteri","Acipenseriformes","Acipenseridae","Scaphirhynchus","Scaphirhynchus albus",,"scaphirhynchus albus",1425016,"TRUE",,,"species"
"tax_907",904110,"Eukaryota","Metazoa","Chordata","Actinopteri","Acipenseriformes","Acipenseridae","Scaphirhynchus","Scaphirhynchus platorynchus",,"scaphirhynchus platorynchus",1022840,"TRUE",,,"species"
"tax_897",709859,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Schizothorax","Schizothorax kozlovi",,"schizothorax kozlovi",1018667,"TRUE",,,"species"
"tax_872",458403,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Squalius","Squalius cephalus",,"squalius cephalus",282855,"TRUE","TRUE",,"species"
"tax_866",306824,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Tanichthys","Tanichthys albonubes",,"tanichthys albonubes",1014958,"TRUE",,,"species"
"tax_900",753550,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Tinca","Tinca tinca",,"tinca tinca",154343,"TRUE","TRUE",,"species"
"tax_925",2851745,"Eukaryota","Metazoa","Mollusca","Bivalvia","Unionida","Hyriidae","Westralunio","Westralunio carteri",,"westralunio carteri",1306782,"TRUE",,,"species"
"tax_877",500763,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Poeciliidae","Xiphophorus","Xiphophorus variatus",,"xiphophorus variatus",1018625,"TRUE",,,"species"
